run_seed,Condition,Burst Amp,Condition
37,DAMGO + $G_{NaP} \times 1.5$,4.968528474939381,DAMGO + $G_{NaP} \times 1.5$
38,Control,2.824600580445305,Control
38,DAMGO,2.2644088977983308,DAMGO
38,DAMGO + $G_{NaP} \times 1.1$,2.155935009605287,DAMGO + $G_{NaP} \times 1.1$
38,DAMGO + $G_{NaP} \times 1.3$,3.236167676703278,DAMGO + $G_{NaP} \times 1.3$
38,DAMGO + $G_{NaP} \times 1.5$,4.039108109078793,DAMGO + $G_{NaP} \times 1.5$
39,Control,2.9277050427096936,Control
39,DAMGO,2.15325139104571,DAMGO
39,DAMGO + $G_{NaP} \times 1.1$,2.3930467546678553,DAMGO + $G_{NaP} \times 1.1$
39,DAMGO + $G_{NaP} \times 1.3$,3.285830069606497,DAMGO + $G_{NaP} \times 1.3$
39,DAMGO + $G_{NaP} \times 1.5$,4.326669575683116,DAMGO + $G_{NaP} \times 1.5$
40,Control,3.442592161775901,Control
40,DAMGO,2.3891034424843776,DAMGO
40,DAMGO + $G_{NaP} \times 1.1$,2.6559347007418457,DAMGO + $G_{NaP} \times 1.1$
40,DAMGO + $G_{NaP} \times 1.3$,3.908417621551001,DAMGO + $G_{NaP} \times 1.3$
40,DAMGO + $G_{NaP} \times 1.5$,4.65199690207958,DAMGO + $G_{NaP} \times 1.5$
