run_seed,Condition,Burst Amp,Condition
35,DAMGO + $G_{Leak} \times 0.7$,3.65641011451447,DAMGO + $G_{Leak} \times 0.7$
35,DAMGO + $G_{Leak} \times 0.9$,2.3675171645613897,DAMGO + $G_{Leak} \times 0.9$
36,Control,3.5777785465620164,Control
36,DAMGO,2.2693908775540113,DAMGO
36,DAMGO + $G_{Leak} \times 0.5$,7.286391372515911,DAMGO + $G_{Leak} \times 0.5$
36,DAMGO + $G_{Leak} \times 0.7$,4.302864936408436,DAMGO + $G_{Leak} \times 0.7$
36,DAMGO + $G_{Leak} \times 0.9$,2.704678908665477,DAMGO + $G_{Leak} \times 0.9$
37,Control,3.5624579335417415,Control
37,DAMGO,2.8079692938099514,DAMGO
37,DAMGO + $G_{Leak} \times 0.5$,7.0023651689183595,DAMGO + $G_{Leak} \times 0.5$
37,DAMGO + $G_{Leak} \times 0.7$,4.011126736442664,DAMGO + $G_{Leak} \times 0.7$
37,DAMGO + $G_{Leak} \times 0.9$,2.6756959482517235,DAMGO + $G_{Leak} \times 0.9$
38,Control,2.6676860358487726,Control
38,DAMGO,2.2282129639947517,DAMGO
38,DAMGO + $G_{Leak} \times 0.5$,6.46694455147682,DAMGO + $G_{Leak} \times 0.5$
38,DAMGO + $G_{Leak} \times 0.7$,3.654140421094003,DAMGO + $G_{Leak} \times 0.7$
38,DAMGO + $G_{Leak} \times 0.9$,2.1601488297182727,DAMGO + $G_{Leak} \times 0.9$
39,Control,2.847464413453314,Control
39,DAMGO,2.3328118933091666,DAMGO
39,DAMGO + $G_{Leak} \times 0.5$,8.476625454474721,DAMGO + $G_{Leak} \times 0.5$
39,DAMGO + $G_{Leak} \times 0.7$,4.194510103339983,DAMGO + $G_{Leak} \times 0.7$
39,DAMGO + $G_{Leak} \times 0.9$,2.299574536123301,DAMGO + $G_{Leak} \times 0.9$
40,Control,3.396140000103302,Control
40,DAMGO,2.5166417957602683,DAMGO
40,DAMGO + $G_{Leak} \times 0.5$,6.456022910557861,DAMGO + $G_{Leak} \times 0.5$
40,DAMGO + $G_{Leak} \times 0.7$,4.2238885295304325,DAMGO + $G_{Leak} \times 0.7$
40,DAMGO + $G_{Leak} \times 0.9$,2.6923779768628897,DAMGO + $G_{Leak} \times 0.9$
