,Peak Samples,Peak Times,Burst Width,Burst Amp,Onset Times,Offset Times,PBI,IBI,Frequency,Period,Peaks,run_seed
106,7462905,373.14525000000003,1.216436122757895,3.599955880041591,372.5783,373.79475,9.23644999999999,10.452850000000012,0.09527938297071584,10.495450000000005,35.999558800415926,1
107,7672814,383.64070000000004,1.2411570094081108,3.3371611298765345,383.0312,384.27235,9.283000000000015,10.524200000000008,0.09225347564969516,10.839699999999993,33.371611298765345,1
108,7889608,394.48040000000003,1.5702838271502872,2.653077233018294,393.5554,395.12565,9.04970000000003,10.620000000000005,0.0956718074317859,10.452400000000011,26.530772330182934,1
109,8098656,404.93280000000004,1.3731930455536117,2.8346865079043404,404.17535000000004,405.54855000000003,8.114449999999977,9.487649999999974,0.10145949483317566,9.856149999999957,28.346865079043397,1
110,8295779,414.78895,1.7911322289536709,1.6692001387811963,413.663,415.45415,8.532299999999964,10.323399999999992,0.09673939857115878,10.337050000000033,16.50483740101312,1
111,8502520,425.12600000000003,1.8360969891174697,1.4547683066343726,423.9864,425.82250000000005,21.492449999999963,23.328550000000007,0.04335836556305172,23.063600000000008,14.085085682028797,1
112,8963792,448.18960000000004,1.572593238675222,1.3513846083473524,447.31495,448.88755000000003,,,,,12.900694441214188,1
0,60134,3.0067,1.5778542559633297,1.2320103491121053,2.48895,4.066800000000001,1.4017,2.9795500000000006,0.3498215909885958,2.8586000000000005,12.320103491121055,2
1,117306,5.8653,0.96746796645734,3.6838557090063233,5.4685500000000005,6.436,1.6597500000000007,2.62725,0.38971920731113235,2.56595,36.83855709006323,2
2,168625,8.43125,0.9933903774077466,4.30116115917059,8.0958,9.0892,1.7131500000000006,2.70655,0.36843268734802154,2.7142,43.01161159170591,2
3,222909,11.14545,0.9696806328353589,4.343756922893554,10.80235,11.772,1.74005,2.7097499999999997,0.37002090618119915,2.7025500000000005,43.43756922893554,2
4,276960,13.848,0.9745426613557153,4.355343060503593,13.5121,14.486650000000001,1.7479500000000012,2.722500000000002,0.365764447695684,2.734,43.553430605035956,2
5,331640,16.582,0.9622813233873895,4.343675718442114,16.2346,17.1969,1.7551500000000004,2.7174499999999995,0.36918760268030215,2.7086499999999987,43.436757184421154,2
6,385813,19.29065,0.9722351301145565,4.375786119988732,18.95205,19.924300000000002,1.7691499999999998,2.7413999999999987,0.3636429753268239,2.749950000000002,43.75786119988732,2
7,440812,22.0406,0.9714621036394325,4.332686355801691,21.693450000000002,22.6649,1.7853999999999992,2.75685,0.3634513338663953,2.7514000000000003,43.32686355801691,2
8,495840,24.792,0.9606329603075516,4.3412456429233615,24.45025,25.4109,1.7733500000000006,2.73395,0.36425891523695036,2.7453000000000003,43.412456429233615,2
9,550746,27.537300000000002,0.9666702889728419,4.306339651976344,27.184250000000002,28.1509,1.7832500000000024,2.749950000000002,0.3651767455448439,2.7383999999999986,43.063396519763444,2
10,605514,30.2757,0.9596041622418503,4.331481316043174,29.9342,30.893800000000002,1.7711000000000006,2.730699999999999,0.36724875594483863,2.7229500000000044,43.31481316043178,2
11,659973,32.998650000000005,0.9583771899853426,4.323930925092455,32.66485,33.62325,1.7581500000000005,2.7165000000000035,0.366750408009829,2.7266499999999994,43.239309250924556,2
12,714506,35.725300000000004,0.9478840563480044,4.334257885179703,35.3814,36.32925,1.8069500000000005,2.7548499999999976,0.36378849336995506,2.7488499999999974,43.342578851797015,2
